Dataset,NaiveBayes,RandomTree,'',SMO,''
MNIST-Noise-0.00,74.47,66.00,' ',91.00,' '
MNIST-Noise-0.05,61.94,58.88,' ',90.88,' '
MNIST-Noise-0.10,77.41,52.06,' ',88.59,' '
MNIST-Noise-0.15,79.24,46.35,' ',87.24,' '
MNIST-Noise-0.20,78.53,39.06,' ',84.71,' '
MNIST-Noise-0.25,78.18,35.76,' ',82.12,' '
MNIST-Noise-0.30,76.88,28.65,' ',80.18,' '
MNIST-Noise-0.35,75.82,25.12,' ',76.12,' '
MNIST-Noise-0.40,72.53,25.65,' ',73.18,' '
MNIST-Noise-0.45,72.88,21.29,' ',69.06,' '
MNIST-Noise-0.50,69.41,17.35,' ',64.65,' '
MNIST-Noise-0.55,67.06,13.76,' ',58.47,' '
MNIST-Noise-0.60,61.06,13.82,' ',54.06,' '
MNIST-Noise-0.65,57.35,13.82,' ',47.71,' '
MNIST-Noise-0.70,49.41,12.82,' ',38.53,' '
MNIST-Noise-0.75,40.53,12.24,' ',31.12,' '
MNIST-Noise-0.80,31.47,10.88,' ',25.24,' '
MNIST-Noise-0.85,22.35,10.94,' ',19.12,' '
MNIST-Noise-0.90,17.41,11.06,' ',15.76,' '
MNIST-Noise-0.95,10.94,10.12,' ',9.94,' '


