Dataset,NaiveBayes,RandomTree,'',SMO,''
MNIST-.66Unnoised-Noise-0,74.51,64.69,' ',91.05,' '
MNIST-.66Unnoised-Noise-0,54.38,58.27,' ',88.11,' '
MNIST-.66Unnoised-Noise-0,41.02,52.03,' ',85.82,' '
MNIST-.66Unnoised-Noise-0,28.96,46.62,' ',82.46,' '
MNIST-.66Unnoised-Noise-0,24.13,40.97,' ',75.40,' '
MNIST-.66Unnoised-Noise-0,19.01,36.85,' ',67.51,' '
MNIST-.66Unnoised-Noise-0,15.13,33.67,' ',59.98,' '
MNIST-.66Unnoised-Noise-0,15.66,27.60,' ',52.85,' '
MNIST-.66Unnoised-Noise-0,13.13,28.55,' ',47.68,' '
MNIST-.66Unnoised-Noise-0,12.54,26.55,' ',41.91,' '
MNIST-.66Unnoised-Noise-0,11.83,22.13,' ',36.55,' '
MNIST-.66Unnoised-Noise-0,11.77,20.48,' ',32.55,' '
MNIST-.66Unnoised-Noise-0,12.07,20.66,' ',28.61,' '
MNIST-.66Unnoised-Noise-0,10.59,16.72,' ',25.84,' '
MNIST-.66Unnoised-Noise-0,10.89,15.42,' ',21.48,' '
MNIST-.66Unnoised-Noise-0,11.60,14.01,' ',21.37,' '
MNIST-.66Unnoised-Noise-0,10.83,14.07,' ',16.95,' '
MNIST-.66Unnoised-Noise-0,10.77,11.48,' ',14.83,' '
MNIST-.66Unnoised-Noise-0,10.36,11.89,' ',13.83,' '
MNIST-.66Unnoised-Noise-0,11.30,10.77,' ',12.18,' '


