0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,4_0,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,5_0,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,6_0,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,7_0,7_1,7_2,7_3,7_4,7_5,7_6,7_7,7_8,7_9,8_0,8_1,8_2,8_3,8_4,8_5,8_6,8_7,8_8,8_9,9_0,9_1,9_2,9_3,9_4,9_5,9_6,9_7,9_8,9_9,label
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0712272787030656,100,0.0011528301558499773,0.03237603932475495,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.03142226084865881,100,0.2028149251720548,100,100,100,100,100,100,100,100,0.02490551679252998,100,100,0.944528982685172,100,100,100,100,100,0.023239208118686516,100,100,100,1.345558065359839,100,100,100,0.2966597287024908,100,100,100,100,100,100,100,0.9458957210974592,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07557686046448557,100,0.0012038985813703487,0.03312120464223485,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.030511111111188913,100,0.19955005681777183,100,100,100,100,100,100,100,100,0.01524302836778755,100,100,100,100,100,100,100,100,0.021343075158965615,100,100,100,1.2114445452253124,100,100,100,0.3065787948436651,100,100,100,100,100,100,1.3495979936358742,1.1038759498356354,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07178304503538263,100,0.0010100286098623482,0.032639243546768074,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.03079020496482232,100,0.19386363436223272,100,100,100,100,100,100,100,100,100,0.07764698569762399,100,0.9473492661725151,100,100,100,100,100,0.024080585798037013,100,100,100,1.3359724861102076,100,100,100,0.30370964751402696,100,100,100,100,100,100,100,0.9734848834049183,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07143426555794523,100,0.001055812135917242,0.03197716692112676,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.031093827160512857,100,100,100,100,100,100,100,100,100,100,0.03296427414524809,100,100,0.9480986183733432,100,100,100,100,100,0.019740557689529696,100,100,100,1.3364090199039644,100,100,100,0.293571831695823,100,100,100,100,100,100,1.3515055486139012,1.0031355505164987,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07496349891753104,100,0.0011674881701418869,0.03179237418683588,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.030596910186458447,100,0.2002250063404569,100,100,100,100,100,100,100,100,0.02232834282364695,100,100,100,100,100,100,100,100,0.021224496137154866,100,100,100,1.20379930453791,100,100,100,0.30631041571229584,100,100,100,100,100,100,1.3739261496810375,0.9937479506323004,100,100,100,100,100,100,100,1
100,100,0.07306032814719413,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07536872257335168,100,0.0008942365787787725,0.031803199818638904,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.030829668256126937,100,100,100,100,100,100,100,100,100,100,0.031747253525379174,100,100,0.94905437028436,100,100,100,100,100,0.022067495569581888,100,100,100,1.3472889773877972,100,100,100,0.3097596793044491,100,100,100,100,100,100,100,0.9567821603799549,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07328141400749243,100,0.0010118850079876734,0.031803199818638904,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.030829668256126937,100,0.1978324489355248,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.01827732341993875,0.0026678399297117186,100,100,1.2019524132304618,100,100,100,0.30099320564180815,100,100,100,100,100,100,1.3544458239264863,1.1028248495736839,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07328141400749243,100,0.0010118850079876734,0.03266401357320364,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.030829668256126937,100,0.1978324489355248,100,100,100,100,100,100,100,100,0.023226163911816557,100,100,0.9458938764575161,100,100,100,100,100,0.019339639640011425,100,100,100,1.3379419515661122,100,100,100,0.3124050217085321,100,100,100,100,100,100,100,0.9490759680121522,100,100,100,100,100,100,100,1
100,100,100,0.2382497880790982,100,100,100,100,100,100,0.026690810609327265,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07328141400749243,100,0.0008942365787787725,0.031803199818638904,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.030829668256126937,100,0.18668306562965728,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.009468533481651543,100,100,100,1.2054783391560338,100,100,100,0.30099320564180815,100,100,100,100,100,100,100,0.9490759680121522,100,100,100,100,100,100,100,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.07536872257335168,100,0.0008942365787787725,0.031803199818638904,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.030829668256126937,100,0.1978324489355248,100,100,100,100,100,100,100,100,0.021609613923030936,100,100,0.957269723426069,100,100,100,100,100,0.009468533481651543,100,100,100,1.3398519403498321,100,100,100,0.30099320564180815,100,100,100,100,100,100,1.356392641084109,100,100,100,100,100,100,100,100,1
