Dataset,NaiveBayes,RandomTree,'',SMO,''
MNIST-Noise-0.00,72.47,71.45,' ',92.02,' '
MNIST-Noise-0.05,76.76,62.69,' ',90.92,' '
MNIST-Noise-0.10,79.94,56.31,' ',89.51,' '
MNIST-Noise-0.15,78.78,47.94,' ',88.14,' '
MNIST-Noise-0.20,78.65,42.73,' ',86.67,' '
MNIST-Noise-0.25,77.18,37.37,' ',84.57,' '
MNIST-Noise-0.30,75.78,33.75,' ',82.71,' '
MNIST-Noise-0.35,74.37,29.33,' ',80.12,' '
MNIST-Noise-0.40,73.80,26.35,' ',77.55,' '
MNIST-Noise-0.45,72.24,22.10,' ',73.04,' '
MNIST-Noise-0.50,69.88,19.41,' ',70.92,' '
MNIST-Noise-0.55,66.43,16.67,' ',64.43,' '
MNIST-Noise-0.60,64.10,14.14,' ',61.57,' '
MNIST-Noise-0.65,58.84,13.31,' ',55.53,' '
MNIST-Noise-0.70,55.88,12.41,' ',49.84,' '
MNIST-Noise-0.75,46.08,11.73,' ',41.06,' '
MNIST-Noise-0.80,36.29,10.96,' ',33.33,' '
MNIST-Noise-0.85,28.49,10.86,' ',24.98,' '
MNIST-Noise-0.90,18.45,10.57,' ',17.29,' '
MNIST-Noise-0.95,12.75,9.90,' ',12.49,' '
