Dataset,NaiveBayes,RandomTree,'',SMO,''
MNIST-.66Unnoised-Noise-0,72.47,71.39,' ',91.92,' '
MNIST-.66Unnoised-Noise-0,53.47,62.71,' ',91.27,' '
MNIST-.66Unnoised-Noise-0,40.92,55.57,' ',90.57,' '
MNIST-.66Unnoised-Noise-0,31.29,47.39,' ',88.22,' '
MNIST-.66Unnoised-Noise-0,24.80,41.29,' ',84.29,' '
MNIST-.66Unnoised-Noise-0,20.25,37.20,' ',78.98,' '
MNIST-.66Unnoised-Noise-0,17.33,34.00,' ',72.59,' '
MNIST-.66Unnoised-Noise-0,15.59,30.06,' ',66.76,' '
MNIST-.66Unnoised-Noise-0,13.61,27.16,' ',61.69,' '
MNIST-.66Unnoised-Noise-0,12.82,24.86,' ',54.75,' '
MNIST-.66Unnoised-Noise-0,12.78,22.55,' ',49.43,' '
MNIST-.66Unnoised-Noise-0,12.59,20.69,' ',42.82,' '
MNIST-.66Unnoised-Noise-0,12.24,19.82,' ',38.02,' '
MNIST-.66Unnoised-Noise-0,11.78,17.04,' ',33.80,' '
MNIST-.66Unnoised-Noise-0,11.59,15.86,' ',29.51,' '
MNIST-.66Unnoised-Noise-0,11.10,15.06,' ',24.96,' '
MNIST-.66Unnoised-Noise-0,11.20,14.20,' ',21.73,' '
MNIST-.66Unnoised-Noise-0,11.14,13.59,' ',18.65,' '
MNIST-.66Unnoised-Noise-0,11.22,12.45,' ',15.49,' '
MNIST-.66Unnoised-Noise-0,11.04,11.98,' ',13.71,' '
